Ranking,Team,Wins,Losses,ELO
99,UNLV,14,13,1679
100,Akron,21,6,1674
101,Wichita St,17,10,1672
102,FL Atlantic,15,12,1669
103,Oklahoma St,13,14,1663
104,Virginia,13,14,1663
105,LSU,14,13,1661
106,UNC Wilmington,23,7,1656
107,St Louis,15,12,1654
108,Jacksonville St,19,9,1647
109,North Alabama,21,9,1643
110,WI Milwaukee,19,10,1642
111,UNC Greensboro,19,10,1639
112,NC State,11,16,1638
113,Bryant,17,11,1637
114,Montana,20,8,1635
115,N Colorado,21,8,1634
116,G Washington,18,10,1633
117,Troy,18,10,1632
118,UCF,14,13,1631
119,Robert Morris,22,8,1630
120,Florida St,16,12,1626
121,S Dakota St,19,10,1620
122,Col Charleston,21,8,1619
123,IL Chicago,17,12,1618
124,James Madison,19,10,1616
125,Washington,13,14,1615
126,Samford,21,8,1615
127,Central Conn,21,6,1615
128,Louisiana Tech,18,10,1609
129,Quinnipiac,17,10,1606
130,Georgia Tech,13,14,1605
131,New Mexico St,15,12,1605
132,MTSU,18,9,1601
133,Davidson,16,11,1598
134,ETSU,17,12,1597
135,Illinois St,17,12,1591
136,Tulane,15,12,1590
137,N Dakota St,20,10,1590
138,Cornell,14,10,1589
139,Youngstown St,19,11,1583
140,South Alabama,19,10,1583
141,Belmont,19,10,1578
142,Notre Dame,12,15,1576
143,Kent,18,9,1574
144,NE Omaha,18,12,1574
145,Duquesne,11,16,1573
146,Appalachian St,17,11,1573
147,UNC Asheville,21,8,1573
148,Wofford,15,14,1569
149,Colorado,11,17,1568
150,California,12,15,1568
151,PFW,19,10,1566
152,Cal Baptist,13,13,1559
153,Rhode Island,17,9,1558
154,UC Riverside,18,11,1556
155,Kennesaw,16,12,1553
156,Furman,21,8,1552
157,Washington St,16,13,1551
158,Norfolk St,20,8,1551
159,UC Santa Barbara,18,10,1549
160,Syracuse,11,16,1547
161,Dartmouth,13,11,1545
162,East Carolina,16,12,1543
163,SE Missouri St,19,10,1538
164,St Thomas MN,20,9,1536
165,Marshall,17,12,1531
166,Virginia Tech,12,15,1529
167,Cleveland St,19,10,1525
168,Marist,20,5,1524
169,Ohio,15,12,1523
170,San Jose St,13,16,1522
171,Merrimack,15,13,1521
172,Abilene Chr,14,13,1519
173,Miami OH,20,7,1518
174,Vermont,17,11,1517
175,Boston College,12,15,1514
176,Brown,13,11,1509
177,Radford,17,13,1508
178,FGCU,17,13,1506
179,E Kentucky,17,13,1501
180,UTEP,17,10,1499
181,Jacksonville,17,12,1494
182,Murray St,14,15,1493
183,S Illinois,12,17,1491
184,Sam Houston St,11,17,1491
185,Winthrop,19,10,1489
186,Loy Marymount,16,13,1488
187,Drexel,15,14,1487
188,Princeton,17,9,1485
189,Campbell,15,14,1484
190,Elon,17,12,1484
191,Massachusetts,11,17,1478
192,William & Mary,17,13,1478
193,Hampton,16,14,1476
194,UT Arlington,13,14,1471
195,Portland St,16,12,1471
196,S Carolina St,15,12,1471
197,Temple,14,14,1466
198,UC Davis,15,13,1466
199,Rice,13,15,1461
200,South Florida,13,15,1457
201,Ark Little Rock,18,11,1457
202,Indiana St,13,16,1454
203,Portland,11,18,1454
204,Oakland,13,16,1453
205,Monmouth NJ,11,18,1453
206,DePaul,11,17,1452
207,Bucknell,15,14,1451
208,Lamar,18,11,1450
209,Southern Univ,18,9,1444
210,WKU,15,12,1443
211,Cal Poly,11,17,1439
212,Nicholls St,18,11,1428
213,Toledo,16,11,1427
214,Maine,16,12,1425
215,Seattle,10,16,1423
216,Evansville,11,18,1421
217,Montana St,12,16,1415
218,Idaho St,13,13,1410
219,Seton Hall,7,20,1409
220,Wyoming,12,16,1405
221,South Dakota,17,12,1404
222,Richmond,10,18,1403
223,Mt St Mary's,17,10,1402
224,SE Louisiana,18,11,1400
225,C Michigan,12,15,1399
226,American Univ,18,11,1399
227,Georgia St,13,16,1398
228,Queens NC,18,12,1398
230,Northeastern,15,14,1392
232,Siena,13,15,1386
233,Harvard,10,14,1385
234,SIUE,19,10,1372
235,Hawaii,14,13,1368
236,Manhattan,13,12,1368
237,Texas St,15,14,1366
238,Hofstra,13,16,1365
239,Northern Arizona,16,13,1364
240,Longwood,17,12,1361
241,UT San Antonio,10,17,1360
242,Valparaiso,13,16,1360
243,N Kentucky,14,15,1360
244,MA Lowell,16,12,1357
245,Tennessee St,14,15,1357
246,TAM C. Christi,17,13,1351
247,E Michigan,14,13,1349
248,CS Bakersfield,12,17,1345
249,Ga Southern,14,15,1345
250,Miami FL,6,21,1341
251,Fordham,11,16,1339
252,Binghamton,15,14,1339
253,Tarleton St,11,17,1338
254,Iona,12,16,1333
255,Penn,7,17,1332
256,Idaho,12,16,1332
257,Charlotte,10,17,1328
258,Missouri St,9,20,1319
259,North Florida,15,15,1308
260,E Washington,10,18,1305
261,Tulsa,11,17,1304
262,VMI,13,16,1298
263,Incarnate Word,15,14,1295
264,Tennessee Tech,15,14,1290
265,Army,16,12,1289
266,La Salle,12,15,1287
267,Jackson St,10,17,1284
268,Ball St,14,13,1282
269,Pepperdine,10,19,1281
270,SUNY Albany,14,14,1280
271,Delaware St,14,12,1280
272,SF Austin,14,15,1278
273,Presbyterian,12,17,1271
274,UMBC,13,16,1264
275,LIU Brooklyn,14,15,1263
276,Louisiana,11,18,1258
277,Sacred Heart,12,15,1258
278,Wright St,13,16,1256
279,TX Southern,13,15,1255
280,Northwestern LA,14,15,1251
281,Gardner Webb,10,17,1247
282,St Peter's,10,14,1244
283,Colgate,12,17,1242
284,Augusta,0,1,1242
286,Columbia,12,12,1239
287,Fresno St,5,23,1238
288,Austin Peay,13,17,1238
289,Mercer,12,17,1234
290,Florida Intl,8,19,1231
291,Navy,11,18,1220
292,North Dakota,11,18,1218
293,Bethune-Cookman,13,15,1215
294,Missouri KC,11,18,1214
295,St Francis PA,12,17,1211
296,Delaware,12,17,1208
297,W Carolina,8,19,1203
298,Houston Chr,12,17,1203
299,Mercyhurst,14,16,1202
300,TN Martin,12,17,1197
301,W Michigan,9,18,1195
302,Air Force,4,23,1191
303,Utah Tech,6,21,1185
304,Southern Utah,11,16,1184
305,Boston Univ,14,15,1184
306,Fairfield,10,17,1183
307,UTRGV,14,15,1183
308,Loyola MD,11,16,1180
309,Stonehill,14,15,1180
310,F Dickinson,11,18,1179
311,Pacific,9,22,1177
312,Morgan St,11,16,1174
313,Long Beach St,7,21,1166
314,Southern Miss,10,19,1165
315,Weber St,10,19,1164
316,Rider,10,18,1162
317,Old Dominion,11,18,1161
318,Lafayette,11,18,1159
319,Florida A&M,12,14,1158
320,Bowling Green,11,16,1157
321,Oral Roberts,7,20,1156
322,Charleston So,10,20,1155
323,Howard,12,16,1154
324,Lehigh,10,17,1153
325,Alcorn St,8,19,1150
327,Niagara,10,17,1149
328,New Hampshire,8,21,1146
329,IUPUI,9,20,1133
330,Hardin-Simmons,0,1,1129
331,Alabama St,13,15,1124
333,Lindenwood,14,15,1115
334,NC Central,11,16,1111
335,Wagner,14,13,1110
336,E Illinois,10,19,1107
337,ULM,7,22,1091
338,Bellarmine,5,25,1087
339,Denver,10,19,1084
340,Coastal Car,9,20,1083
341,Holy Cross,13,16,1079
342,San Diego,4,25,1077
344,Stony Brook,7,23,1074
345,CS Fullerton,6,22,1060
346,Cent Arkansas,8,22,1059
348,NC A&T,7,22,1053
349,NJIT,5,23,1050
350,Grambling,9,18,1045
351,Southern Indiana,10,18,1040
352,Stetson,8,22,1035
353,Morehead St,14,15,1024
354,Alabama A&M,10,18,1018
355,Detroit,8,21,1016
356,CS Sacramento,7,21,1012
357,SC Upstate,6,23,1009
359,Canisius,3,24,1004
360,West Georgia,5,25,1003
362,WI Green Bay,3,26,988
363,Coppin St,5,21,979
364,W Illinois,10,19,977
365,N Illinois,5,22,967
366,Buffalo,8,19,956
367,Citadel,5,22,949
369,East Texas A&M,4,25,934
370,Le Moyne,9,20,929
372,Chicago St,4,25,901
376,MD E Shore,4,22,834
377,Prairie View,5,23,812
378,New Orleans,4,25,804
379,Ark Pine Bluff,5,23,776
380,MS Valley St,3,25,613
