Team,ELO
Kennesaw,1331.842037037037
North Alabama,1330.3842592592591
W Michigan,1324.7549074074075
CS Sacramento,1324.6238888888888
N Illinois,1319.4437962962963
UTRGV,1319.057878787879
W Illinois,1318.9443434343436
Elon,1318.778253968254
TAM C. Christi,1310.3272222222222
Norfolk St,1310.0747222222221
Idaho,1309.8149999999998
Presbyterian,1305.1464197530863
William & Mary,1301.5826984126984
Robert Morris,1299.4060606060607
E Michigan,1296.3282407407407
Merrimack,1296.0114814814815
Lehigh,1295.9055555555553
Nicholls St,1291.736111111111
South Dakota,1291.351111111111
SC Upstate,1288.3286419753085
Cal Poly,1282.798585858586
Hampton,1282.2404761904763
Howard,1280.714722222222
Boston Univ,1276.55
Bucknell,1275.1988888888889
Tennessee St,1273.268787878788
Lamar,1265.145
Central Conn,1261.8381481481483
NC Central,1261.0924999999997
Bellarmine,1260.8509259259258
NJIT,1259.9241975308641
Augusta,1259.11
SIUE,1259.019898989899
VMI,1252.5833333333335
Charleston So,1250.7597530864198
NC A&T,1248.849365079365
Manhattan,1244.938787878788
Okla City,1242.75
Wagner,1242.6692592592592
American Univ,1242.572222222222
Delaware St,1238.8702777777776
Grambling,1238.215462962963
Navy,1233.4655555555555
Le Moyne,1229.2114814814815
Sacred Heart,1229.007037037037
Buffalo,1226.9771296296296
S Carolina St,1223.2124999999999
Tennessee Tech,1218.2287878787881
Cent Arkansas,1215.2775925925926
E Illinois,1209.9443434343436
Detroit,1209.1749494949495
TX Southern,1203.2910185185185
Siena,1196.5476767676769
F Dickinson,1194.5537037037038
Alcorn St,1192.175462962963
SE Louisiana,1190.3005555555555
Lafayette,1189.2655555555555
Southern Indiana,1184.9665656565658
Chicago St,1183.35
IUPUI,1177.010505050505
Morgan St,1175.0169444444443
East Texas A&M,1172.5938888888888
Holy Cross,1172.158888888889
Bethune-Cookman,1171.0110185185185
Southern Univ,1170.3265740740742
MD E Shore,1168.763611111111
SE Missouri St,1168.019898989899
Northwestern LA,1167.6027777777779
Jackson St,1165.984351851852
Army,1157.7677777777778
Utica,1150.86
Lindenwood,1144.9754545454546
Hardin-Simmons,1140.92
Alabama A&M,1138.5087962962962
LIU Brooklyn,1136.2737037037036
New Orleans,1134.2383333333335
Loyola MD,1130.4522222222222
St Francis NY,1121.85
Alabama St,1101.6821296296298
St Francis PA,1098.2737037037036
Coppin St,1090.914722222222
Ark Pine Bluff,1090.3487962962963
Stonehill,1084.7714814814815
Incarnate Word,1082.776111111111
Prairie View,1081.4554629629629
Florida A&M,1076.2021296296298
NE Illinois,1075.73
Houston Chr,1070.945
Armstrong St,1057.66
Savannah St,1009.8
W Salem St,990.42
MS Valley St,981.6287962962964
Centenary,940.52
Hartford,904.77
Brooklyn,890.9
Alliant Intl,890.41
Morris Brown,843.44
Mercyhurst,1500
West Georgia,1500
