Year,Ranking,Team
1994,13,UCLA
1994,14,Georgia Tech
1994,15,Georgetown
1994,16,Virginia
1994,17,Illinois
1994,18,Arizona
1994,19,Cincinnati
1994,20,Syracuse
1994,21,Purdue
1994,22,Massachusetts
1994,23,Vanderbilt
1994,24,G Washington
1994,25,Florida St
1995,1,Arkansas
1995,2,North Carolina
1995,3,Massachusetts
1995,4,Kentucky
1995,5,Arizona
1995,6,UCLA
1995,7,Maryland
1995,8,Duke
1995,9,Indiana
1995,10,Florida
1995,11,Kansas
1995,12,Syracuse
1995,13,Cincinnati
1995,14,Virginia
1995,15,Georgetown
1995,16,Michigan
1995,17,Wisconsin
1995,18,Alabama
1995,19,Connecticut
1995,20,Michigan St
1995,21,Oklahoma St
1995,22,Villanova
1995,23,Georgia Tech
1995,24,Wake Forest
1995,25,Illinois
1996,1,Kentucky
1996,2,Kansas
1996,3,Villanova
1996,4,UCLA
1996,5,Georgetown
1996,6,Connecticut
1996,7,Massachusetts
1996,8,Iowa
1996,9,Mississippi St
1996,10,Utah
1996,11,Wake Forest
1996,12,Louisville
1996,13,Memphis
1996,14,Missouri
1996,15,Maryland
1996,16,Arkansas
1996,17,Michigan
1996,18,Stanford
1996,19,Virginia
1996,20,North Carolina
1996,21,Cincinnati
1996,22,Virginia Tech
1996,23,Indiana
1996,24,Purdue
1996,25,California
1997,1,Cincinnati
1997,2,Kansas
1997,3,Kentucky
1997,4,Wake Forest
1997,5,UCLA
1997,6,Utah
1997,7,Villanova
1997,8,North Carolina
1997,9,Michigan
1997,10,Duke
1997,11,Iowa St
1997,12,Syracuse
1997,13,Arkansas
1997,14,Fresno St
1997,15,Massachusetts
1997,16,Texas
1997,17,New Mexico
1997,18,Stanford
1997,19,Arizona
1997,20,Clemson
1997,21,Boston College
1997,22,Minnesota
1997,23,Iowa
1997,24,G Washington
1997,25,Marquette
1998,1,Arizona
1998,2,Kansas
1998,3,Duke
1998,4,North Carolina
1998,5,Clemson
1998,6,UCLA
1998,7,South Carolina
1998,8,Kentucky
1998,9,Purdue
1998,10,Xavier
1998,11,New Mexico
1998,12,Connecticut
1998,13,Fresno St
1998,14,Stanford
1998,15,Iowa
1998,16,Utah
1998,17,Indiana
1998,18,Charlotte
1998,19,Georgia
1998,20,Oklahoma
1998,21,Rhode Island
1998,22,Texas
1998,23,Mississippi
1998,24,Temple
1998,25,Louisville
1999,1,Duke
1999,2,Connecticut
1999,3,Stanford
1999,4,Kentucky
1999,5,Michigan St
1999,6,Maryland
1999,7,Temple
1999,8,Kansas
1999,9,Tennessee
1999,10,Utah
1999,11,North Carolina
1999,12,UCLA
1999,13,Oklahoma St
1999,14,Washington
1999,15,Cincinnati
1999,16,Purdue
1999,17,Xavier
1999,18,Arizona
1999,19,Arkansas
1999,20,New Mexico
1999,21,Syracuse
1999,22,Indiana
1999,23,Rhode Island
1999,24,Massachusetts
1999,25,TCU
2000,1,Connecticut
2000,2,Cincinnati
2000,3,Michigan St
2000,4,Auburn
2000,5,Ohio St
2000,6,North Carolina
2000,7,Temple
2000,8,Florida
2000,9,Arizona
2000,10,Duke
2000,11,Kansas
2000,12,UCLA
2000,13,Stanford
2000,14,Kentucky
2000,15,Utah
2000,16,Illinois
2000,17,Syracuse
2000,18,St John's
2000,19,Tennessee
2000,20,DePaul
2000,21,Texas
2000,22,Oklahoma St
2000,23,Purdue
2000,24,Gonzaga
2000,25,Miami FL
2001,1,Arizona
2001,2,Duke
2001,3,Michigan St
2001,4,Stanford
2001,5,Maryland
2001,6,North Carolina
2001,7,Kansas
2001,8,Illinois
2001,9,Tennessee
2001,10,Seton Hall
2001,11,Florida
2001,12,Kentucky
2001,13,Utah
2001,14,Connecticut
2001,15,Arkansas
2001,16,Notre Dame
2001,17,UCLA
2001,18,Cincinnati
2001,19,Wisconsin
2001,20,Wake Forest
2001,21,DePaul
2001,22,Oklahoma
2001,23,USC
2001,24,Virginia
2001,25,Iowa St
2002,1,Duke
2002,2,Maryland
2002,3,Illinois
2002,4,Kentucky
2002,5,UCLA
2002,6,Florida
2002,7,Kansas
2002,8,Missouri
2002,9,Iowa
2002,10,St Joseph's PA
2002,11,Virginia
2002,12,Memphis
2002,13,Stanford
2002,14,Georgetown
2002,15,Michigan St
2002,16,Temple
2002,17,Boston College
2002,18,Oklahoma St
2002,19,North Carolina
2002,20,USC
2002,21,Syracuse
2002,22,Indiana
2002,23,Texas
2002,24,Alabama
2002,25,Oklahoma
2003,1,Arizona
2003,2,Kansas
2003,3,Oklahoma
2003,4,Texas
2003,5,Pittsburgh
2003,6,Duke
2003,7,Florida
2003,8,Alabama
2003,9,Michigan St
2003,10,Xavier
2003,11,Oregon
2003,12,Mississippi St
2003,13,Maryland
2003,14,UCLA
2003,15,Connecticut
2003,16,Georgia
2003,17,Kentucky
2003,18,Marquette
2003,19,Missouri
2003,20,WKU
2003,21,Indiana
2003,22,Gonzaga
2003,23,Cincinnati
2003,24,Minnesota
2003,25,Tulsa
2004,1,Connecticut
2004,2,Duke
2004,3,Michigan St
2004,4,Arizona
2004,5,Missouri
2004,6,Kansas
2004,7,Syracuse
2004,8,Florida
2004,9,North Carolina
2004,10,Gonzaga
2004,11,Kentucky
2004,12,Texas
2004,13,Illinois
2004,14,Oklahoma
2004,15,Wisconsin
2004,16,Louisville
2004,17,St Joseph's PA
2004,18,Cincinnati
2004,19,Stanford
2004,20,Wake Forest
2004,21,Notre Dame
2004,22,Pittsburgh
2004,23,Marquette
2004,24,NC State
2004,25,Oklahoma St
2005,1,Kansas
2005,2,Wake Forest
2005,3,Georgia Tech
2005,4,North Carolina
2005,5,Illinois
2005,6,Syracuse
2005,7,Oklahoma St
2005,8,Connecticut
2005,9,Kentucky
2005,10,Arizona
2005,11,Duke
2005,12,Mississippi St
2005,13,Michigan St
2005,14,Louisville
2005,15,Maryland
2005,16,Texas
2005,17,Pittsburgh
2005,18,Alabama
2005,19,NC State
2005,20,Notre Dame
2005,21,Wisconsin
2005,22,Washington
2005,23,Florida
2005,24,Memphis
2005,25,Gonzaga
2006,1,Duke
2006,2,Texas
2006,3,Connecticut
2006,4,Michigan St
2006,5,Villanova
2006,6,Oklahoma
2006,7,Louisville
2006,8,Gonzaga
2006,9,Kentucky
2006,10,Arizona
2006,11,Boston College
2006,12,Memphis
2006,13,Stanford
2006,14,West Virginia
2006,15,Alabama
2006,16,Syracuse
2006,17,Illinois
2006,18,Wake Forest
2006,19,UCLA
2006,20,Iowa
2006,21,G Washington
2006,22,Nevada
2006,23,Maryland
2006,24,Indiana
2006,25,Iowa St
2007,1,Florida
2007,2,North Carolina
2007,3,Kansas
2007,4,Pittsburgh
2007,5,LSU
2007,6,UCLA
2007,7,Ohio St
2007,8,Georgetown
2007,9,Wisconsin
2007,10,Arizona
2007,11,Alabama
2007,12,Duke
2007,13,Texas A&M
2007,14,Memphis
2007,15,Boston College
2007,16,Marquette
2007,17,Washington
2007,18,Connecticut
2007,19,Creighton
2007,20,Syracuse
2007,21,Texas
2007,22,Kentucky
2007,23,Georgia Tech
2007,24,Nevada
2007,25,Tennessee
2008,1,North Carolina
2008,2,UCLA
2008,3,Memphis
2008,4,Kansas
2008,5,Georgetown
2008,6,Louisville
2008,7,Tennessee
2008,8,Michigan St
2008,9,Indiana
2008,10,Washington St
2008,11,Marquette
2008,12,Oregon
2008,13,Duke
2008,14,Gonzaga
2008,15,Texas
2008,16,Texas A&M
2008,17,Arizona
2008,18,USC
2008,19,Arkansas
2008,20,Kentucky
2008,21,NC State
2008,22,Pittsburgh
2008,23,Stanford
2008,24,S Illinois
2008,25,Kansas St
2009,1,North Carolina
2009,2,Connecticut
2009,3,Louisville
2009,4,UCLA
2009,5,Pittsburgh
2009,6,Michigan St
2009,7,Texas
2009,8,Duke
2009,9,Notre Dame
2009,10,Gonzaga
2009,11,Purdue
2009,12,Oklahoma
2009,13,Memphis
2009,14,Tennessee
2009,15,Arizona St
2009,16,Marquette
2009,17,Miami FL
2009,18,USC
2009,19,Florida
2009,20,Davidson
2009,21,Wake Forest
2009,22,Georgetown
2009,23,Villanova
2009,24,Kansas
2009,25,Wisconsin
2010,1,Kansas
2010,2,Michigan St
2010,3,Texas
2010,4,Kentucky
2010,5,Villanova
2010,6,North Carolina
2010,7,Purdue
2010,8,West Virginia
2010,9,Duke
2010,10,Tennessee
2010,11,Butler
2010,12,Connecticut
2010,13,California
2010,14,Washington
2010,15,Michigan
2010,16,Ohio St
2010,17,Oklahoma
2010,18,Mississippi St
2010,19,Louisville
2010,20,Georgetown
2010,21,Dayton
2010,22,Georgia Tech
2010,23,Illinois
2010,24,Clemson
2010,25,Minnesota
2011,1,Duke
2011,2,Michigan St
2011,3,Kansas St
2011,4,Ohio St
2011,5,Pittsburgh
2011,6,Villanova
2011,7,Kansas
2011,8,North Carolina
2011,9,Florida
2011,10,Syracuse
2011,11,Kentucky
2011,12,Gonzaga
2011,13,Illinois
2011,14,Purdue
2011,15,Missouri
2011,16,Baylor
2011,17,Butler
2011,18,Washington
2011,19,Memphis
2011,20,Georgetown
2011,21,Virginia Tech
2011,22,Temple
2011,23,Tennessee
2011,24,BYU
2011,25,San Diego St
2012,1,North Carolina
2012,2,Kentucky
2012,3,Ohio St
2012,4,Connecticut
2012,5,Syracuse
2012,6,Duke
2012,7,Vanderbilt
2012,8,Florida
2012,9,Louisville
2012,10,Pittsburgh
2012,11,Memphis
2012,12,Baylor
2012,13,Kansas
2012,14,Xavier
2012,15,Wisconsin
2012,16,Arizona
2012,17,UCLA
2012,18,Michigan
2012,19,Alabama
2012,20,Texas A&M
2012,21,Cincinnati
2012,22,Marquette
2012,23,Gonzaga
2012,24,California
2012,25,Missouri
2013,1,Indiana
2013,2,Louisville
2013,3,Kentucky
2013,4,Ohio St
2013,5,Michigan
2013,6,NC State
2013,7,Kansas
2013,8,Duke
2013,9,Syracuse
2013,10,Florida
2013,11,North Carolina
2013,12,Arizona
2013,13,UCLA
2013,14,Michigan St
2013,15,Missouri
2013,16,Creighton
2013,17,Memphis
2013,18,UNLV
2013,19,Baylor
2013,20,San Diego St
2013,21,Gonzaga
2013,22,Notre Dame
2013,23,Wisconsin
2013,24,Cincinnati
2013,25,Florida St
2014,1,Kentucky
2014,2,Michigan St
2014,3,Louisville
2014,4,Duke
2014,5,Kansas
2014,6,Arizona
2014,7,Michigan
2014,8,Oklahoma St
2014,9,Syracuse
2014,10,Florida
2014,11,Ohio St
2014,12,North Carolina
2014,13,Memphis
2014,14,VCU
2014,15,Gonzaga
2014,16,Wichita St
2014,17,Marquette
2014,18,Connecticut
2014,19,Oregon
2014,20,Wisconsin
2014,21,Notre Dame
2014,22,UCLA
2014,23,New Mexico
2014,24,Virginia
2014,25,Baylor
2015,1,Kentucky
2015,2,Arizona
2015,3,Wisconsin
2015,4,Duke
2015,5,Kansas
2015,6,North Carolina
2015,7,Florida
2015,8,Louisville
2015,9,Virginia
2015,10,Texas
2015,11,Wichita St
2015,12,Villanova
2015,13,Gonzaga
2015,14,Iowa St
2015,15,VCU
2015,16,San Diego St
2015,17,Connecticut
2015,18,Michigan St
2015,19,Oklahoma
2015,20,Ohio St
2015,21,Nebraska
2015,22,SMU
2015,23,Syracuse
2015,24,Michigan
2015,25,Harvard
2016,1,North Carolina
2016,2,Kentucky
2016,3,Maryland
2016,4,Kansas
2016,5,Duke
2016,6,Virginia
2016,7,Iowa St
2016,8,Oklahoma
2016,9,Gonzaga
2016,10,Wichita St
2016,11,Villanova
2016,12,Arizona
2016,13,Michigan St
2016,14,California
2016,15,Indiana
2016,16,Utah
2016,17,Wisconsin
2016,18,Vanderbilt
2016,19,Notre Dame
2016,20,Connecticut
2016,21,LSU
2016,22,Baylor
2016,23,Purdue
2016,24,Butler
2016,25,Michigan
2017,1,Duke
2017,2,Kentucky
2017,3,Kansas
2017,4,Villanova
2017,5,Oregon
2017,6,North Carolina
2017,7,Xavier
2017,8,Virginia
2017,9,Wisconsin
2017,10,Arizona
2017,11,Indiana
2017,12,Michigan St
2017,13,Louisville
2017,14,Gonzaga
2017,15,Purdue
2017,16,UCLA
2017,17,St Mary's CA
2017,18,Connecticut
2017,19,Syracuse
2017,20,West Virginia
2017,21,Texas
2017,22,Creighton
2017,23,Rhode Island
2017,24,Iowa St
2017,25,Maryland
2018,1,Duke
2018,2,Michigan St
2018,3,Arizona
2018,4,Kansas
2018,5,Kentucky
2018,6,Villanova
2018,7,Wichita St
2018,8,Florida
2018,9,North Carolina
2018,10,USC
2018,11,West Virginia
2018,12,Cincinnati
2018,13,Miami FL
2018,14,Notre Dame
2018,15,Minnesota
2018,16,Louisville
2018,17,Xavier
2018,18,Gonzaga
2018,19,Northwestern
2018,20,Purdue
2018,21,UCLA
2018,22,St Mary's CA
2018,23,Seton Hall
2018,24,Baylor
2018,25,Texas A&M
2019,1,Kansas
2019,2,Kentucky
2019,3,Gonzaga
2019,4,Duke
2019,5,Virginia
2019,6,Tennessee
2019,7,Nevada
2019,8,North Carolina
2019,9,Villanova
2019,10,Michigan St
2019,11,Auburn
2019,12,Kansas St
2019,13,West Virginia
2019,14,Oregon
2019,15,Virginia Tech
2019,16,Syracuse
2019,17,Florida St
2019,18,Mississippi St
2019,19,Michigan
2019,20,TCU
2019,21,UCLA
2019,22,Clemson
2019,23,LSU
2019,24,Purdue
2019,25,Washington
2020,1,Michigan St
2020,2,Kentucky
2020,3,Kansas
2020,4,Duke
2020,5,Louisville
2020,6,Florida
2020,7,Maryland
2020,8,Gonzaga
2020,9,North Carolina
2020,10,Villanova
2020,11,Virginia
2020,12,Seton Hall
2020,13,Texas Tech
2020,14,Memphis
2020,15,Oregon
2020,16,Baylor
2020,17,Utah St
2020,18,Ohio St
2020,19,Xavier
2020,20,St Mary's CA
2020,21,Arizona
2020,22,LSU
2020,23,Purdue
2020,24,Auburn
2020,25,VCU
2021,1,Gonzaga
2021,2,Baylor
2021,3,Villanova
2021,4,Virginia
2021,5,Iowa
2021,6,Kansas
2021,7,Wisconsin
2021,8,Illinois
2021,9,Duke
2021,10,Kentucky
2021,11,Creighton
2021,12,Tennessee
2021,13,Michigan St
2021,14,Texas Tech
2021,15,West Virginia
2021,16,North Carolina
2021,17,Houston
2021,18,Arizona St
2021,19,Texas
2021,20,Oregon
2021,21,Florida St
2021,22,UCLA
2021,23,Ohio St
2021,24,Rutgers
2021,25,Michigan
2022,1,Gonzaga
2022,2,UCLA
2022,3,Kansas
2022,4,Villanova
2022,5,Texas
2022,6,Michigan
2022,7,Purdue
2022,8,Baylor
2022,9,Duke
2022,10,Kentucky
2022,11,Illinois
2022,12,Memphis
2022,13,Oregon
2022,14,Alabama
2022,15,Houston
2022,16,Arkansas
2022,17,Ohio St
2022,18,Tennessee
2022,19,North Carolina
2022,20,Florida St
2022,21,Maryland
2022,22,Auburn
2022,23,St Bonaventure
2022,24,Connecticut
2022,25,Virginia
2023,1,North Carolina
2023,2,Gonzaga
2023,3,Houston
2023,4,Kentucky
2023,5,Baylor
2023,6,Kansas
2023,7,Duke
2023,8,UCLA
2023,9,Creighton
2023,10,Arkansas
2023,11,Tennessee
2023,12,Texas
2023,13,Indiana
2023,14,TCU
2023,15,Auburn
2023,16,Villanova
2023,17,Arizona
2023,18,Virginia
2023,19,San Diego St
2023,20,Alabama
2023,21,Oregon
2023,22,Michigan
2023,23,Illinois
2023,24,Dayton
2023,25,Texas Tech
2024,1,Kansas
2024,2,Duke
2024,3,Purdue
2024,4,Michigan St
2024,5,Marquette
2024,6,Connecticut
2024,7,Houston
2024,8,Creighton
2024,9,Tennessee
2024,10,FL Atlantic
2024,11,Gonzaga
2024,12,Arizona
2024,13,Miami FL
2024,14,Arkansas
2024,15,Texas A&M
2024,16,Kentucky
2024,17,San Diego St
2024,18,Texas
2024,19,North Carolina
2024,20,Baylor
2024,21,USC
2024,22,Villanova
2024,23,St Mary's CA
2024,24,Alabama
2024,25,Illinois
2025,1,Kansas
2025,2,Alabama
2025,3,Connecticut
2025,4,Houston
2025,5,Iowa St
2025,6,Gonzaga
2025,7,Duke
2025,8,Baylor
2025,9,North Carolina
2025,10,Arizona
2025,11,Auburn
2025,12,Tennessee
2025,13,Texas A&M
2025,14,Purdue
2025,15,Creighton
2025,16,Arkansas
2025,17,Indiana
2025,18,Marquette
2025,19,Texas
2025,20,Cincinnati
2025,21,Florida
2025,22,UCLA
2025,23,Kentucky
2025,24,Mississippi
2025,25,Rutgers
